,Text,id,ch_start_tar,ch_end_tar,source_book_ms,book_count,cluster
0,0375AnonymousTranslator.TarikhCalamUrusiyus,Kraken220810162528,2604,3492,203,1,34359861260
1,0821Qalqashandi.SubhAcsha,Shamela0009429,6188,6202,971,1,207743
2,0845Maqrizi.Mawaciz,Shamela0011566,11707,11727,228,1,146028985155
3,0845Maqrizi.Muqaffa,Sham19Y0145334,16340,17265,1258,1,34359988825
4,0845Maqrizi.ItticazHunafa,Shamela0000176,16340,17265,330,1,34359988825
5,0845Maqrizi.Muqaffa,Sham19Y0145334,17583,18863,1259,1,214748637459
6,0845Maqrizi.Mawaciz,Shamela0011566,18157,18881,250,1,214748637460
7,0845Maqrizi.Muqaffa,Sham19Y0145334,18157,18881,1259,1,214748637460
8,0845Maqrizi.ItticazHunafa,Shamela0000176,18157,18881,331,1,214748637460
9,0845Maqrizi.Mawaciz,Shamela0011566,18496,18835,1045,1,171798982073
10,0845Maqrizi.Muqaffa,Sham19Y0145334,18496,18835,1259,1,171798982073
11,0845Maqrizi.ItticazHunafa,Shamela0000176,18496,18835,331,1,171798982073
12,0845Maqrizi.Muqaffa,Sham19Y0145334,18978,19826,1260,1,68719725047
13,0845Maqrizi.ItticazHunafa,Shamela0000176,18978,19826,331,1,68719725047
14,0845Maqrizi.Muqaffa,Sham19Y0145334,19844,20386,1260,1,8590218656
15,0845Maqrizi.ItticazHunafa,Shamela0000176,19844,20386,331,1,8590218656
16,0845Maqrizi.ItticazHunafa,Shamela0000176,20542,21196,359,1,8590218655
17,0845Maqrizi.ItticazHunafa,Shamela0000176,21812,22511,360,1,85899367969
18,0930IbnIyas.BadaicZuhur,Kraken220308195638,23593,23691,178,1,103079416137
19,0845Maqrizi.ItticazHunafa,Shamela0000176,23775,24155,384,1,25770061197
20,0845Maqrizi.ItticazHunafa,Shamela0000176,24180,24914,385,1,77309585570
21,0845Maqrizi.Mawaciz,Shamela0011566,39075,39095,255,1,386547070826
22,0845Maqrizi.Mawaciz,Shamela0011566,39113,39133,254,1,283467930762
23,0845Maqrizi.Durar,Kraken220413030834,44121,44710,1428,1,231928259776
24,0845Maqrizi.ShudhurCuqud,MMS00014,49577,50152,15,1,128849027217
25,0845Maqrizi.NuqudQadima,Shamela0010710Sec3,49577,50152,119,1,128849027217
26,0845Maqrizi.ShudhurCuqud,MMS00014,50196,50422,15,1,274878133755
27,0845Maqrizi.ShudhurCuqud,MMS00014,50793,51518,1,1,180388650937
28,0845Maqrizi.NuqudQadima,Shamela0010710Sec3,50793,51518,106,1,180388650937
29,0845Maqrizi.ShudhurCuqud,MMS00014,51099,51453,1,1,313867
30,0845Maqrizi.NuqudQadima,Shamela0010710Sec3,51099,51453,106,1,313867
31,0855BadrDinCayni.CumdatQari,Shamela0005756,51537,52291,5318,1,51539679577
32,0855BadrDinCayni.NukhabAfkar,Sham19Y0013667,51537,52291,2966,1,51539679577
33,0855BadrDinCayni.NukhabAfkar,Sham19Y0013667,51537,52291,3131,1,51539679577
34,0845Maqrizi.NuqudQadima,Shamela0010710Sec3,51537,52291,106,1,51539679577
35,0749IbnFadlAllahCumari.MasalikAbsar,Kraken210630005153,51706,51899,2201,1,51539679576
36,0845Maqrizi.ShudhurCuqud,MMS00014,52491,52701,1,1,180388650938
37,0845Maqrizi.NuqudQadima,Shamela0010710Sec3,52605,53136,107,1,51539854482
38,0845Maqrizi.ShudhurCuqud,MMS00014,53284,53592,2,1,94364
39,0845Maqrizi.NuqudQadima,Shamela0010710Sec3,53297,53875,107,1,51539854483
40,0845Maqrizi.ShudhurCuqud,MMS00014,53977,54611,3,1,163209138958
41,0845Maqrizi.NuqudQadima,Shamela0010710Sec3,53977,54611,108,1,163209138958
42,0845Maqrizi.ShudhurCuqud,MMS00014,54867,55546,3,1,68719818698
43,0845Maqrizi.NuqudQadima,Shamela0010710Sec3,54867,55546,108,1,68719818698
44,0630IbnAthirCizzDin.Kamil,JK000911,55765,56486,1471,1,42949810633
45,0733Nuwayri.NihayatArab,Shamela0010283,55765,56486,4700,1,42949810633
46,0808IbnKhaldun.Tarikh,Shamela0012320,55765,56486,1417,1,42949810633
47,0276IbnQutaybaDinawari.CuyunAkhbar,Shamela0023790,55765,56486,178,1,42949810633
48,0845Maqrizi.ShudhurCuqud,MMS00014,55765,56486,4,1,42949810633
49,0874IbnTaghribirdi.NujumZahira,JK001330,55765,56486,137,1,42949810633
50,0395AbuHilalCaskari.Awail,Shamela0010529,55765,56486,153,1,42949810633
51,0911Suyuti.TarikhKhulafa,Shamela0011997,55765,56486,190,1,42949810633
